LineId,Month,Day,Time,Host,Process,Pid,Content,EventId,EventTemplate,ParameterList
1,Jun,14,00:00:03,secops-01,sshd,17314,Received disconnect from 203.0.113.72 port 17073:11: disconnected by user [preauth],S10,Received disconnect from <*> port <*>:11: disconnected by user [preauth],"['203.0.113.72', '17073']"
2,Jun,14,00:00:09,secops-01,sudo,31424,pam_unix(sudo:session): session opened for user deploy by www-data(uid=1001),U01,pam_unix(sudo:session): session opened for user <*> by <*>(uid=<*>),"['deploy', 'www-data', '1001']"
3,Jun,14,00:00:12,secops-01,sshd,10869,Failed password for admin from 203.0.113.131 port 40477 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['admin', '203.0.113.131', '40477']"
4,Jun,14,00:00:16,secops-01,sshd,24719,Connection reset by 198.51.100.109 port 15470 [preauth],S14,Connection reset by <*> port <*> [preauth],"['198.51.100.109', '15470']"
5,Jun,14,00:00:18,secops-01,sudo,34552,root : user NOT authorized on host ; TTY=pts/0 ; PWD=/tmp ; COMMAND=/usr/bin/apt update,U03,<*> : user NOT authorized on host ; TTY=<*> ; PWD=<*> ; COMMAND=<*>,"['root', 'pts/0', '/tmp', '/usr/bin/apt update']"
6,Jun,14,00:00:23,secops-01,sshd,13169,Failed password for invalid user operator from 203.0.113.25 port 25922 ssh2,S02,Failed password for invalid user <*> from <*> port <*> ssh2,"['operator', '203.0.113.25', '25922']"
7,Jun,14,00:00:24,secops-01,kernel,,[UFW BLOCK] IN=ens3 OUT= SRC=198.51.100.188 DST=10.0.7.139 PROTO=TCP SPT=9204 DPT=6379,F01,[UFW BLOCK] IN=<*> OUT= SRC=<*> DST=<*> PROTO=TCP SPT=<*> DPT=<*>,"['ens3', '198.51.100.188', '10.0.7.139', '9204', '6379']"
8,Jun,14,00:00:27,secops-01,sshd,21850,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=198.51.100.160,S08,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,['198.51.100.160']
9,Jun,14,00:00:28,secops-01,sshd,19482,Connection reset by 203.0.113.60 port 51687 [preauth],S14,Connection reset by <*> port <*> [preauth],"['203.0.113.60', '51687']"
10,Jun,14,00:00:31,secops-01,kernel,,[UFW BLOCK] IN=eth0 OUT= SRC=203.0.113.118 DST=10.0.5.43 PROTO=TCP SPT=25284 DPT=5432,F01,[UFW BLOCK] IN=<*> OUT= SRC=<*> DST=<*> PROTO=TCP SPT=<*> DPT=<*>,"['eth0', '203.0.113.118', '10.0.5.43', '25284', '5432']"
11,Jun,14,00:00:33,secops-01,sshd,12339,input_userauth_request: invalid user www-data [preauth],S12,input_userauth_request: invalid user <*> [preauth],['www-data']
12,Jun,14,00:00:37,secops-01,sshd,22433,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=203.0.113.120,S08,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,['203.0.113.120']
13,Jun,14,00:00:37,secops-01,audit,4452,USER_LOGIN pid=3621 uid=1001 auid=4294967295 user=ec2-user exe=/usr/sbin/sshd res=failed,A02,USER_LOGIN pid=<*> uid=<*> auid=<*> user=<*> exe=/usr/sbin/sshd res=<*>,"['3621', '1001', '4294967295', 'ec2-user', 'failed']"
14,Jun,14,00:00:40,secops-01,sshd,12168,Failed password for invalid user root from 198.51.100.104 port 18570 ssh2,S02,Failed password for invalid user <*> from <*> port <*> ssh2,"['root', '198.51.100.104', '18570']"
15,Jun,14,00:00:42,secops-01,kernel,,[UFW BLOCK] IN=ens3 OUT= SRC=203.0.113.129 DST=10.0.6.228 PROTO=UDP SPT=60959 DPT=8080,F02,[UFW BLOCK] IN=<*> OUT= SRC=<*> DST=<*> PROTO=UDP SPT=<*> DPT=<*>,"['ens3', '203.0.113.129', '10.0.6.228', '60959', '8080']"
16,Jun,14,00:00:48,secops-01,sshd,29155,Failed password for invalid user ec2-user from 198.51.100.139 port 18243 ssh2,S02,Failed password for invalid user <*> from <*> port <*> ssh2,"['ec2-user', '198.51.100.139', '18243']"
17,Jun,14,00:00:49,secops-01,kernel,,[UFW BLOCK] IN=ens3 OUT= SRC=203.0.113.37 DST=10.0.8.128 PROTO=TCP SPT=6981 DPT=22,F01,[UFW BLOCK] IN=<*> OUT= SRC=<*> DST=<*> PROTO=TCP SPT=<*> DPT=<*>,"['ens3', '203.0.113.37', '10.0.8.128', '6981', '22']"
18,Jun,14,00:00:55,secops-01,sshd,12081,Failed password for ubuntu from 198.51.100.110 port 40110 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['ubuntu', '198.51.100.110', '40110']"
19,Jun,14,00:00:56,secops-01,sshd,10376,Invalid user test from 203.0.113.250 port 37280,S05,Invalid user <*> from <*> port <*>,"['test', '203.0.113.250', '37280']"
20,Jun,14,00:01:01,secops-01,sshd,18743,input_userauth_request: invalid user guest [preauth],S12,input_userauth_request: invalid user <*> [preauth],['guest']
21,Jun,14,00:01:03,secops-01,sshd,18630,Failed password for git from 203.0.113.2 port 63533 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['git', '203.0.113.2', '63533']"
22,Jun,14,00:01:06,secops-01,sshd,19779,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=203.0.113.162,S08,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,['203.0.113.162']
23,Jun,14,00:01:06,secops-01,sshd,27378,Failed password for operator from 203.0.113.246 port 52052 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['operator', '203.0.113.246', '52052']"
24,Jun,14,00:01:06,secops-01,sshd,26010,pam_unix(sshd:auth): check pass; user unknown,S09,pam_unix(sshd:auth): check pass; user unknown,[]
25,Jun,14,00:01:09,secops-01,sshd,20076,Failed password for deploy from 192.0.2.214 port 53896 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['deploy', '192.0.2.214', '53896']"
26,Jun,14,00:01:10,secops-01,sshd,25924,Failed password for backup from 203.0.113.22 port 6637 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['backup', '203.0.113.22', '6637']"
27,Jun,14,00:01:12,secops-01,audit,4878,USER_AUTH pid=3181 uid=0 auid=1000 user=postgres exe=/usr/sbin/sshd res=failed,A01,USER_AUTH pid=<*> uid=<*> auid=<*> user=<*> exe=/usr/sbin/sshd res=<*>,"['3181', '0', '1000', 'postgres', 'failed']"
28,Jun,14,00:01:15,secops-01,sshd,27671,Failed password for invalid user support from 198.51.100.248 port 14904 ssh2,S02,Failed password for invalid user <*> from <*> port <*> ssh2,"['support', '198.51.100.248', '14904']"
29,Jun,14,00:01:22,secops-01,sshd,22236,Connection reset by 203.0.113.173 port 43614 [preauth],S14,Connection reset by <*> port <*> [preauth],"['203.0.113.173', '43614']"
30,Jun,14,00:01:25,secops-01,kernel,,[UFW BLOCK] IN=ens3 OUT= SRC=203.0.113.59 DST=10.0.1.88 PROTO=TCP SPT=2402 DPT=8443,F01,[UFW BLOCK] IN=<*> OUT= SRC=<*> DST=<*> PROTO=TCP SPT=<*> DPT=<*>,"['ens3', '203.0.113.59', '10.0.1.88', '2402', '8443']"
31,Jun,14,00:01:26,secops-01,sshd,10235,pam_unix(sshd:auth): check pass; user unknown,S09,pam_unix(sshd:auth): check pass; user unknown,[]
32,Jun,14,00:01:31,secops-01,sshd,11029,Connection reset by 203.0.113.19 port 60361 [preauth],S14,Connection reset by <*> port <*> [preauth],"['203.0.113.19', '60361']"
33,Jun,14,00:01:33,secops-01,sshd,27669,Failed password for ec2-user from 203.0.113.126 port 15064 ssh2,S01,Failed password for <*> from <*> port <*> ssh2,"['ec2-user', '203.0.113.126', '15064']"
34,Jun,14,00:01:40,secops-01,sudo,33981,pam_unix(sudo:session): session opened for user deploy by nagios(uid=1000),U01,pam_unix(sudo:session): session opened for user <*> by <*>(uid=<*>),"['deploy', 'nagios', '1000']"
35,Jun,14,00:01:45,secops-01,sudo,37062,ec2-user : user NOT authorized on host ; TTY=pts/0 ; PWD=/home/deploy ; COMMAND=/usr/bin/docker ps,U03,<*> : user NOT authorized on host ; TTY=<*> ; PWD=<*> ; COMMAND=<*>,"['ec2-user', 'pts/0', '/home/deploy', '/usr/bin/docker ps']"
36,Jun,14,00:01:45,secops-01,sshd,13224,Disconnected from authenticating user test 192.0.2.15 port 45153 [preauth],S06,Disconnected from authenticating user <*> <*> port <*> [preauth],"['test', '192.0.2.15', '45153']"
37,Jun,14,00:01:48,secops-01,sshd,16278,Disconnected from authenticating user deploy 198.51.100.29 port 17319 [preauth],S06,Disconnected from authenticating user <*> <*> port <*> [preauth],"['deploy', '198.51.100.29', '17319']"
38,Jun,14,00:01:55,secops-01,sshd,19127,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=203.0.113.48,S08,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,['203.0.113.48']
39,Jun,14,00:01:56,secops-01,sshd,28033,Failed password for invalid user backup from 203.0.113.208 port 57473 ssh2,S02,Failed password for invalid user <*> from <*> port <*> ssh2,"['backup', '203.0.113.208', '57473']"
